"all_data_wide$X1km_square","EASTING","NORTHING"
"ST4543",345000,143000
"ST2983",329000,183000
"SO2568",325000,268000
"SN6634",266000,234000
"SK0484",404000,384000
"SE1582",415000,482000
"SE1867",418000,467000
"SH5924",259000,324000
"TQ3110",531000,110000
"SU6679",466000,179000
"ST9351",393000,151000
"SP1430",414000,230000
"SO6087",360000,287000
"TR3149",631000,149000
"ST2636",326000,136000
"SU3986",439000,186000
"SO8911",389000,211000
"SS8395",283000,195000
"SO4718",347000,218000
"SE1845",418000,445000
"SP4951",449000,251000
"SN0732",207000,232000
"SK5480",454000,380000
"SK1590",415000,390000
"TM3949",639000,249000
"SY8586",385000,86000
"TQ8038",580000,138000
"TR0534",605000,134000
"SX7048",270000,48000
"SH4072",240000,372000
"TL3266",532000,266000
"SO3129",331000,229000
"NO7495",374000,795000
"SK9826",498000,326000
"NJ7638",376000,838000
"SU7800",478000,1e+05
"NN5527",255000,727000
"SU1466",414000,166000
"SX8144",281000,44000
"SP6302",463000,202000
"SE9023",490000,423000
"SK2557",425000,357000
"TQ1827",518000,127000
"SK4706",447000,306000
"TQ4450",544000,150000
"SH8207",282000,307000
"SN6777",267000,277000
"NN6693",266000,793000
"SO1474",314000,274000
"NS9052",290000,652000
"SH7038",270000,338000
"SN6185",261000,285000
"SH8170",281000,370000
"NN8664",286000,764000
"NJ6415",364000,815000
"NJ0327",303000,827000
"NT5824",358000,624000
"NS5873",258000,673000
"NX8392",283000,592000
"NN8369",283000,769000
"NT2023",320000,623000
"NN7911",279000,711000
"NC5762",257000,962000
"SH4866",248000,366000
"SN7659",276000,259000
"NT4470",344000,670000
"NS2366",223000,666000
"SN6098",260000,298000
"SH7148",271000,348000
"NS4085",240000,685000
"TG4403",644000,303000
"NC7158",271000,958000
"NC0429",204000,929000
"NC2313",223000,913000
