species,insect_group
Anasimyia contracta,hoverflies
Anasimyia transfuga,hoverflies
Andrena angustior,solitary_bees
Andrena bicolor,solitary_bees
Andrena bucephala,solitary_bees
Andrena chrysosceles,solitary_bees
Andrena cineraria,solitary_bees
Andrena coitana,solitary_bees
Andrena denticulata,solitary_bees
Andrena dorsata,solitary_bees
Andrena flavipes,solitary_bees
Andrena fucata,solitary_bees
Andrena fulva,solitary_bees
Andrena haemorrhoa,solitary_bees
Andrena helvola,solitary_bees
Andrena lapponica,solitary_bees
Andrena minutula,solitary_bees
Andrena nigroaenea,solitary_bees
Andrena nitida,solitary_bees
Andrena scotica,solitary_bees
Andrena semilaevis,solitary_bees
Andrena subopaca,solitary_bees
Andrena thoracica,solitary_bees
Anthophora furcata,solitary_bees
Anthophora plumipes,solitary_bees
Apis mellifera,honeybees
Arctophila superbiens,hoverflies
Bombus barbutellus,bumblebees
Bombus bohemicus,bumblebees
Bombus campestris,bumblebees
Bombus hortorum,bumblebees
Bombus hypnorum,bumblebees
Bombus jonellus,bumblebees
Bombus lapidarius,bumblebees
Bombus lucorum/terrestris/magnus/cryptarum,bumblebees
Bombus monticola,bumblebees
Bombus muscorum,bumblebees
Bombus pascuorum,bumblebees
Bombus pratorum,bumblebees
Bombus rupestris,bumblebees
Bombus soroeensis,bumblebees
Bombus sylvestris,bumblebees
Bombus terrestris,bumblebees
Bombus vestalis,bumblebees
Chalcosyrphus nemorum,hoverflies
Cheilosia albitarsis/ranunculi,hoverflies
Cheilosia bergenstammi,hoverflies
Cheilosia fraterna,hoverflies
Cheilosia illustrata,hoverflies
Cheilosia lasiopa,hoverflies
Cheilosia latifrons,hoverflies
Cheilosia pagana,hoverflies
Cheilosia proxima,hoverflies
Chrysotoxum bicinctum,hoverflies
Chrysotoxum festivum,hoverflies
Colletes similis,solitary_bees
Colletes succinctus,solitary_bees
Dasypoda hirtipes,solitary_bees
Dasysyrphus albostriatus,hoverflies
Dasysyrphus tricinctus,hoverflies
Dasysyrphus venustus,hoverflies
Epistrophe grossulariae,hoverflies
Episyrphus balteatus,hoverflies
Eristalinus aeneus,hoverflies
Eristalinus sepulchralis,hoverflies
Eristalis abusivus,hoverflies
Eristalis arbustorum,hoverflies
Eristalis horticola,hoverflies
Eristalis intricarius,hoverflies
Eristalis nemorum,hoverflies
Eristalis pertinax,hoverflies
Eristalis rupium,hoverflies
Eristalis tenax,hoverflies
Eumerus funeralis,hoverflies
Eumerus ornatus,hoverflies
Eumerus strigatus,hoverflies
Eupeodes corollae,hoverflies
Eupeodes latifasciatus,hoverflies
Eupeodes luniger,hoverflies
Ferdinandea cuprea,hoverflies
Halictus rubicundus,solitary_bees
Halictus tumulorum,solitary_bees
Helophilus hybridus,hoverflies
Helophilus pendulus,hoverflies
Helophilus trivittatus,hoverflies
Heringia (subgenus Neocnemodon),hoverflies
Hylaeus communis,solitary_bees
Hylaeus confusus,solitary_bees
Hylaeus dilatatus,solitary_bees
Hylaeus hyalinatus,solitary_bees
Hylaeus pectoralis,solitary_bees
Lasioglossum albipes,solitary_bees
Lasioglossum calceatum,solitary_bees
Lasioglossum cupromicans,solitary_bees
Lasioglossum fratellum,solitary_bees
Lasioglossum fulvicorne,solitary_bees
Lasioglossum laevigatum,solitary_bees
Lasioglossum lativentre,solitary_bees
Lasioglossum leucopus,solitary_bees
Lasioglossum leucozonium,solitary_bees
Lasioglossum malachurum,solitary_bees
Lasioglossum minutissimum,solitary_bees
Lasioglossum morio,solitary_bees
Lasioglossum parvulum,solitary_bees
Lasioglossum pauperatum,solitary_bees
Lasioglossum pauxillum,solitary_bees
Lasioglossum puncticolle,solitary_bees
Lasioglossum quadrinotatum,solitary_bees
Lasioglossum rufitarse,solitary_bees
Lasioglossum smeathmanellum,solitary_bees
Lasioglossum villosulum,solitary_bees
Lasioglossum zonulum,solitary_bees
Lejogaster metallina,hoverflies
Leucozona glaucia,hoverflies
Megachile ligniseca,solitary_bees
Megachile versicolor,solitary_bees
Melanogaster hirtella,hoverflies
Melanostoma mellinum,hoverflies
Melanostoma scalare,hoverflies
Meliscaeva auricollis,hoverflies
Meliscaeva cinctella,hoverflies
Merodon equestris,hoverflies
Myathropa florea,hoverflies
Neoascia podagrica,hoverflies
Neoascia tenur,hoverflies
Nomada goodeniana,solitary_bees
Nomada marshamella,solitary_bees
Nomada panzeri,solitary_bees
Nomada ruficornis,solitary_bees
Nomada striata,solitary_bees
Osmia bicornis,solitary_bees
Osmia leaiana,solitary_bees
Panurgus banksianus,solitary_bees
Panurgus calcaratus,solitary_bees
Parhelophilus versicolor,hoverflies
Pipizella viduata,hoverflies
Platycheirus,hoverflies
Platycheirus albimanus,hoverflies
Platycheirus clypeatus,hoverflies
Platycheirus granditarsus,hoverflies
Platycheirus manicatus,hoverflies
Platycheirus peltatus/nielseni/amplus,hoverflies
Platycheirus rosarum,hoverflies
Platycheirus scutatus/splendidus/aurolateralis,hoverflies
Rhingia campestris,hoverflies
Scaeva pyrastri,hoverflies
Sericomyia lappona,hoverflies
Sericomyia silentis,hoverflies
Sphaerophoria,hoverflies
Sphecodes crassus,solitary_bees
Sphecodes ephippius,solitary_bees
Sphecodes geoffrellus,solitary_bees
Sphecodes monilicornis,solitary_bees
Sphecodes niger,solitary_bees
Sphegina clunipes,hoverflies
Syritta pipiens,hoverflies
Syrphus ribesii,hoverflies
Syrphus torvus,hoverflies
Syrphus vitripennis,hoverflies
Volucella bombylans,hoverflies
Volucella inanis,hoverflies
Volucella inflata,hoverflies
Volucella pellucens,hoverflies
Xanthogramma pedissequum,hoverflies
Xylota abiens,hoverflies
Xylota jakutorum,hoverflies
Xylota segnis,hoverflies
